pyweather_Zeitpunkt,pyweather_Temperatur,pyweather_Temperatur_felt,pyweather_rel_Luftfeuchtigkeit,pyweather_Himmelbeschreibung,pyweather_Windgeschwindigkeit,sense_hat_Zeitpunkt,sense_hat_Temperatur,sense_hat_Temperatur_hum,sense_hat_Temperatur_pres,sense_hat_Temperatur_cpu,sense_hat_Luftdruck,sense_hat_rel_Luftfeuchtigkeit
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_09:57:17,38.29,38.29,37.1,54.5,1028.42,28.43
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_09:58:17,38.45,38.45,37.17,53.0,1028.35,28.66
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_09:59:17,38.43,38.43,37.17,53.5,1028.36,28.69
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:00:17,38.36,38.36,37.15,54.0,1028.38,28.64
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:01:18,38.42,38.42,37.15,53.0,1028.32,28.58
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:02:18,38.43,38.43,37.18,53.5,1028.26,28.51
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:03:18,38.45,38.45,37.14,53.5,1028.28,31.01
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:04:18,38.34,38.34,37.03,53.5,1028.32,29.01
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:05:19,38.38,38.38,37.1,53.0,1028.32,28.94
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:06:19,38.47,38.47,37.19,54.0,1028.31,28.72
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:07:19,38.23,38.23,37.11,53.5,1028.36,28.95
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:08:19,38.45,38.45,37.14,53.0,1028.38,31.3
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:09:19,38.45,38.45,37.18,53.0,1028.38,28.86
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:10:20,38.42,38.42,37.18,54.0,1028.38,28.93
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:11:20,38.53,38.53,37.26,52.5,1028.4,29.15
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:12:20,38.67,38.67,37.29,53.0,1028.42,28.9
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:13:20,38.65,38.65,37.37,54.0,1028.45,28.79
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:14:21,38.51,38.51,37.22,53.5,1028.51,29.02
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:15:21,38.73,38.73,37.36,53.5,1028.53,28.31
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:16:21,38.56,38.56,37.24,54.0,1028.49,28.86
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:17:21,38.53,38.53,37.31,53.5,1028.52,28.82
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:18:22,38.49,38.49,37.27,53.0,1028.46,29.03
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:19:22,38.6,38.6,37.35,53.5,1028.5,28.69
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:20:22,38.71,38.71,37.34,54.0,1028.46,29.02
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:21:22,38.65,38.65,37.27,53.0,1028.52,29.14
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:22:23,38.6,38.6,37.2,54.0,1028.47,29.03
2022-07-08_09:20:00,16,16,72,Meist bewölkt,26,2022-07-08_10:23:23,38.56,38.56,37.29,54.5,1028.49,28.88
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:24:23,38.58,38.58,37.28,53.0,1028.5,28.15
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:25:23,38.71,38.71,37.34,53.5,1028.55,28.89
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:26:24,38.53,38.53,37.31,53.5,1028.52,29.07
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:27:24,38.65,38.65,37.34,52.5,1028.53,29.06
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:28:24,38.67,38.67,37.32,54.0,1028.52,29.41
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:29:24,38.45,38.45,37.18,53.5,1028.5,29.15
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:30:24,38.42,38.42,37.21,54.0,1028.56,29.14
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:31:25,38.49,38.49,37.2,53.5,1028.56,29.13
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:32:25,38.51,38.51,37.21,53.0,1028.57,29.44
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:33:25,38.43,38.43,37.22,53.0,1028.58,29.5
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:34:25,38.49,38.49,37.26,53.5,1028.59,29.38
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:35:26,38.49,38.49,37.25,54.0,1028.55,29.4
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:36:26,38.69,38.69,37.29,53.5,1028.57,29.35
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:37:26,38.54,38.54,37.32,52.5,1028.55,29.22
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:38:26,38.62,38.62,37.35,53.0,1028.55,29.21
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:39:27,38.65,38.65,37.4,54.0,1028.61,29.43
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:40:27,38.56,38.56,37.36,53.5,1028.64,30.5
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:41:27,38.56,38.56,37.34,53.5,1028.65,29.36
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:42:27,38.64,38.64,37.33,52.5,1028.63,29.5
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:43:28,38.69,38.69,37.36,54.0,1028.61,29.42
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:44:28,38.62,38.62,37.36,53.5,1028.64,29.49
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:45:28,38.6,38.65,37.36,53.5,1028.64,28.76
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:46:28,38.64,38.64,37.38,53.5,1028.64,29.37
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:47:29,38.6,38.6,37.36,53.0,1028.66,29.38
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:48:29,38.75,38.75,37.36,53.5,1028.67,29.4
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:49:29,38.62,38.62,37.39,54.0,1028.7,29.64
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:50:29,38.67,38.67,37.39,53.5,1028.64,29.33
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:51:30,38.69,38.69,37.4,53.0,1028.68,29.4
2022-07-08_09:50:00,16,16,77,Leichter Regen,22,2022-07-08_10:52:30,38.71,38.71,37.38,53.5,1028.68,29.5
2022-07-08_10:20:00,15,15,88,Leichter Regen,26,2022-07-08_10:53:30,38.65,38.65,37.41,53.5,1028.69,29.59
2022-07-08_10:20:00,15,15,88,Leichter Regen,26,2022-07-08_10:54:30,38.75,38.75,37.42,53.5,1028.7,29.53
2022-07-08_10:20:00,15,15,88,Leichter Regen,26,2022-07-08_10:55:31,38.6,38.6,37.44,54.0,1028.68,29.57
2022-07-08_10:20:00,15,15,88,Leichter Regen,26,2022-07-08_10:56:31,38.65,38.65,37.38,53.5,1028.67,29.64
2022-07-08_10:20:00,15,15,88,Leichter Regen,26,2022-07-08_10:57:31,38.78,38.78,37.47,53.0,1028.63,30.58
2022-07-08_10:20:00,15,15,88,Leichter Regen,26,2022-07-08_10:58:31,38.82,38.82,37.46,53.0,1028.67,29.65
2022-07-08_10:20:00,15,15,88,Leichter Regen,26,2022-07-08_10:59:31,38.71,38.71,37.5,54.0,1028.65,29.79
2022-07-08_10:20:00,15,15,88,Leichter Regen,26,2022-07-08_11:00:32,38.73,38.73,37.45,53.0,1028.66,29.66
2022-07-08_10:20:00,15,15,88,Leichter Regen,26,2022-07-08_11:01:32,38.76,38.76,37.47,53.0,1028.59,28.75
2022-07-08_10:20:00,15,15,88,Leichter Regen,26,2022-07-08_11:02:32,38.86,38.86,37.57,54.5,1028.54,29.79
2022-07-08_10:20:00,15,15,88,Leichter Regen,26,2022-07-08_11:03:32,38.98,38.98,37.65,55.0,1028.48,29.66
2022-07-08_10:20:00,15,15,88,Leichter Regen,26,2022-07-08_11:04:32,39.0,39.0,37.74,55.0,1028.44,29.55
2022-07-08_10:20:00,15,15,88,Leichter Regen,26,2022-07-08_11:05:33,39.04,39.04,37.79,55.0,1028.42,29.19
2022-07-08_10:20:00,15,15,88,Leichter Regen,26,2022-07-08_11:06:33,39.19,39.19,37.83,55.0,1028.4,29.41
2022-07-08_10:20:00,15,15,88,Leichter Regen,26,2022-07-08_11:07:33,39.08,39.08,37.85,53.5,1028.39,29.31
2022-07-08_10:20:00,15,15,88,Leichter Regen,26,2022-07-08_11:08:33,39.11,39.11,37.84,53.0,1028.36,29.52
2022-07-08_10:20:00,15,15,88,Leichter Regen,26,2022-07-08_11:09:34,39.19,39.19,37.82,54.5,1028.36,28.69
2022-07-08_10:20:00,15,15,88,Leichter Regen,26,2022-07-08_11:10:34,39.22,39.22,37.87,53.0,1028.41,29.44
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:11:34,39.09,39.09,37.74,53.5,1028.44,29.3
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:12:34,39.2,39.2,37.8,53.5,1028.49,29.73
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:13:35,38.93,38.93,37.71,54.0,1028.53,29.66
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:14:35,39.11,39.11,37.74,53.5,1028.48,29.65
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:15:35,39.04,39.04,37.74,54.0,1028.46,29.43
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:16:35,39.15,39.15,37.83,53.0,1028.44,29.55
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:17:35,39.15,39.15,37.83,52.5,1028.37,29.35
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:18:36,39.2,39.2,37.87,53.5,1028.41,29.19
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:19:36,39.22,39.22,37.96,54.0,1028.31,28.97
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:20:37,39.22,39.22,37.96,54.5,1028.31,29.3
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:21:37,39.22,39.22,37.9,54.5,1028.37,29.4
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:22:37,39.24,39.24,37.95,53.5,1028.37,31.51
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:23:37,39.19,39.19,37.85,54.0,1028.43,29.82
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:24:37,39.06,39.19,37.82,54.0,1028.48,29.21
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:25:38,39.15,39.15,37.82,54.0,1028.49,29.63
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:26:38,39.15,39.15,37.74,54.0,1028.5,29.67
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:27:38,39.04,39.04,37.78,54.0,1028.44,29.5
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:28:38,38.87,38.87,37.64,53.5,1028.47,29.75
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:29:39,39.19,39.19,37.8,54.5,1028.46,29.57
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:30:39,39.19,39.19,37.73,54.0,1028.43,29.75
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:31:39,39.02,39.02,37.69,54.0,1028.45,29.89
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:32:39,39.11,39.11,37.78,54.0,1028.44,29.89
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:33:39,39.2,39.2,37.83,53.0,1028.43,29.78
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:34:40,39.02,39.02,37.85,53.0,1028.48,29.84
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:35:40,39.13,39.13,37.89,53.5,1028.5,29.8
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:36:40,39.2,39.2,37.82,53.0,1028.47,30.04
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:37:40,39.13,39.13,37.83,53.0,1028.38,29.97
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:38:41,39.24,39.24,37.88,54.0,1028.33,29.87
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:39:41,39.39,39.39,37.92,54.0,1028.33,29.94
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:40:41,39.31,39.31,37.97,54.5,1028.31,29.88
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:41:41,39.24,39.24,37.92,54.5,1028.4,29.57
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:42:42,39.28,39.28,37.93,55.0,1028.31,29.86
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:43:42,39.11,39.11,37.7,54.5,1028.32,29.85
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:44:42,39.26,39.26,37.96,54.5,1028.23,29.61
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:45:42,39.28,39.28,37.87,53.5,1028.22,29.74
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:46:43,39.31,39.31,37.88,53.5,1028.2,29.81
2022-07-08_10:50:00,15,15,94,Leichter Regen,17,2022-07-08_11:47:43,39.48,39.48,38.12,54.5,1028.17,29.55
2022-07-08_11:20:00,16,16,94,Leichter Regen,17,2022-07-08_11:48:43,39.41,39.41,38.1,54.0,1028.08,29.57
2022-07-08_11:20:00,16,16,94,Leichter Regen,17,2022-07-08_11:49:44,39.39,39.39,38.11,54.0,1028.17,29.4
2022-07-08_11:20:00,16,16,94,Leichter Regen,17,2022-07-08_11:50:44,39.44,39.44,38.09,54.0,1028.17,29.97
2022-07-08_11:20:00,16,16,94,Leichter Regen,17,2022-07-08_11:51:44,39.46,39.46,38.08,53.5,1028.22,29.55
2022-07-08_11:20:00,16,16,94,Leichter Regen,17,2022-07-08_11:52:45,39.28,39.28,37.86,54.0,1028.21,29.55
2022-07-08_11:20:00,16,16,94,Leichter Regen,17,2022-07-08_11:53:45,39.2,39.2,37.79,54.0,1028.17,29.77
2022-07-08_11:20:00,16,16,94,Leichter Regen,17,2022-07-08_11:54:45,39.35,39.35,37.92,53.5,1028.22,29.65
2022-07-08_11:20:00,16,16,94,Leichter Regen,17,2022-07-08_11:55:46,39.52,39.52,38.2,54.5,1028.14,31.03
2022-07-08_11:20:00,16,16,94,Leichter Regen,17,2022-07-08_11:56:46,39.31,39.31,37.98,54.0,1028.16,29.52
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_11:57:47,39.59,39.59,38.21,54.5,1028.08,29.44
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_11:58:47,39.66,39.66,38.29,54.0,1028.11,29.48
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_11:59:47,39.57,39.57,38.17,54.5,1028.17,29.45
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:00:47,39.42,39.42,38.03,54.0,1028.12,29.59
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:01:48,39.44,39.44,38.02,54.0,1028.13,29.71
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:02:48,39.59,39.59,38.16,53.5,1028.21,29.79
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:03:48,39.46,39.46,38.06,54.5,1028.24,30.19
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:04:48,39.55,39.55,38.09,54.5,1028.28,29.97
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:05:49,39.13,39.13,37.78,53.5,1028.26,30.05
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:06:49,39.26,39.26,37.93,54.0,1028.38,30.1
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:07:49,39.57,39.57,38.25,54.5,1028.41,30.07
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:08:49,39.26,39.26,37.88,54.0,1028.46,30.2
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:09:50,39.26,39.26,37.95,54.0,1028.49,30.18
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:10:50,39.22,39.22,37.96,55.0,1028.44,30.39
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:11:50,39.24,39.24,37.91,54.5,1028.48,30.28
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:12:50,39.35,39.35,37.95,53.5,1028.43,30.49
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:13:51,39.26,39.26,38.03,54.0,1028.37,30.54
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:14:51,39.41,39.41,38.11,54.0,1028.38,30.06
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:15:51,39.24,39.24,37.86,54.0,1028.43,30.43
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:16:51,39.13,39.13,37.78,53.0,1028.44,30.05
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:17:52,39.13,39.13,37.83,54.0,1028.45,30.39
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:18:52,39.09,39.09,37.81,54.5,1028.39,30.25
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:19:52,39.0,39.0,37.8,54.5,1028.35,31.01
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:20:52,39.26,39.26,37.83,54.5,1028.26,30.88
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:21:52,39.17,39.17,37.8,54.0,1028.31,30.32
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:22:53,39.33,39.33,37.95,55.0,1028.28,28.95
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:23:53,39.46,39.46,38.1,54.0,1028.18,30.26
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:24:53,39.46,39.44,38.05,54.0,1028.25,30.24
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:25:53,39.24,39.24,37.92,54.5,1028.34,30.88
2022-07-08_11:20:00,16,16,94,Meist bewölkt,17,2022-07-08_12:26:54,39.3,39.3,37.89,55.0,1028.4,30.65
2022-07-08_11:50:00,15,15,100,Meist bewölkt,18,2022-07-08_12:27:54,39.2,39.2,37.83,54.0,1028.41,30.74
2022-07-08_11:50:00,15,15,100,Meist bewölkt,18,2022-07-08_12:28:54,39.37,39.37,37.95,53.0,1028.44,30.78
2022-07-08_11:50:00,15,15,100,Meist bewölkt,18,2022-07-08_12:29:54,39.22,39.22,37.92,55.0,1028.41,30.6
2022-07-08_11:50:00,15,15,100,Meist bewölkt,18,2022-07-08_12:30:55,39.35,39.35,38.01,54.0,1028.33,30.58
2022-07-08_11:50:00,15,15,100,Meist bewölkt,18,2022-07-08_12:31:55,39.57,39.57,38.13,54.5,1028.3,30.37
2022-07-08_11:50:00,15,15,100,Meist bewölkt,18,2022-07-08_12:32:55,39.22,39.22,37.87,53.5,1028.35,30.48
2022-07-08_11:50:00,15,15,100,Meist bewölkt,18,2022-07-08_12:33:55,39.41,39.41,37.89,54.0,1028.46,30.54
2022-07-08_11:50:00,15,15,100,Meist bewölkt,18,2022-07-08_12:34:56,39.22,39.22,37.84,54.0,1028.44,30.82
2022-07-08_11:50:00,15,15,100,Meist bewölkt,18,2022-07-08_12:35:56,39.22,39.22,37.9,53.5,1028.38,30.64
2022-07-08_11:50:00,16,15,100,Meist bewölkt,18,2022-07-08_12:36:56,39.09,39.09,37.83,54.5,1028.29,30.55
2022-07-08_11:50:00,16,15,100,Meist bewölkt,18,2022-07-08_12:37:56,39.48,39.48,37.9,54.0,1028.34,31.04
2022-07-08_11:50:00,16,15,100,Meist bewölkt,18,2022-07-08_12:38:57,39.08,39.08,37.81,53.5,1028.43,30.7
2022-07-08_11:50:00,16,15,100,Meist bewölkt,18,2022-07-08_12:39:57,39.15,39.15,37.78,53.5,1028.28,30.89
2022-07-08_11:50:00,16,15,100,Meist bewölkt,18,2022-07-08_12:40:57,39.41,39.41,38.02,53.5,1028.22,30.54
2022-07-08_11:50:00,16,15,100,Meist bewölkt,18,2022-07-08_12:41:57,39.15,39.26,37.81,54.5,1028.17,31.82
2022-07-08_11:50:00,16,15,100,Meist bewölkt,18,2022-07-08_12:42:58,39.39,39.39,38.04,54.0,1028.18,30.78
2022-07-08_11:50:00,16,15,100,Meist bewölkt,18,2022-07-08_12:43:58,39.42,39.42,38.04,54.0,1028.05,30.31
2022-07-08_11:50:00,16,15,100,Meist bewölkt,18,2022-07-08_12:44:58,39.72,39.72,38.39,54.0,1028.04,29.97
2022-07-08_11:50:00,16,15,100,Meist bewölkt,18,2022-07-08_12:45:58,39.72,39.72,38.23,54.5,1028.22,30.51
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_12:46:59,39.63,39.63,38.2,53.5,1027.93,30.33
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_12:47:59,39.55,39.55,38.15,54.0,1028.15,29.52
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_12:48:59,39.72,39.72,38.32,54.0,1028.13,30.36
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_12:49:59,39.59,39.59,38.15,54.5,1028.25,30.81
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_12:51:00,39.74,39.74,38.22,54.0,1028.21,30.53
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_12:52:00,39.79,39.79,38.35,54.0,1028.05,30.24
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_12:53:00,39.46,39.46,38.0,55.0,1028.08,30.46
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_12:54:00,39.63,39.63,38.32,53.5,1028.19,30.18
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_12:55:01,39.81,39.81,38.42,53.5,1028.26,30.53
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_12:56:01,39.64,39.64,38.46,53.5,1028.28,30.37
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_12:57:01,39.3,39.3,38.02,53.5,1028.27,30.6
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_12:58:01,39.37,39.37,37.9,54.0,1028.26,30.87
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_12:59:02,39.22,39.22,37.95,54.5,1028.31,31.07
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:00:02,39.41,39.41,38.01,54.0,1028.38,31.32
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:01:02,39.26,39.26,37.94,54.0,1028.41,31.98
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:02:03,39.19,39.19,37.78,55.0,1028.43,31.09
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:03:03,39.26,39.26,37.81,54.0,1028.33,31.18
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:04:03,39.24,39.24,37.89,54.0,1028.23,31.01
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:05:03,39.46,39.46,38.03,55.0,1028.08,30.61
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:06:04,39.46,39.46,38.18,54.5,1028.23,30.74
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:07:04,39.74,39.74,38.34,53.5,1028.2,30.65
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:08:04,39.59,39.59,38.27,55.0,1028.08,30.47
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:09:04,39.75,39.75,38.3,54.5,1028.1,30.38
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:10:05,39.83,39.83,38.49,54.5,1028.24,30.32
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:11:05,39.64,39.64,38.33,54.0,1028.01,30.33
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:12:05,39.92,39.92,38.51,55.0,1028.14,30.29
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:13:06,40.03,40.03,38.68,54.0,1028.16,30.03
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:14:06,39.72,39.72,38.33,55.0,1028.09,30.04
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:15:06,39.9,39.9,38.48,53.5,1028.08,30.55
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:16:06,39.81,39.81,38.37,54.0,1028.11,30.4
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:17:07,39.92,39.92,38.53,55.0,1027.99,30.31
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:18:07,39.96,39.96,38.63,54.0,1028.15,30.25
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:19:07,39.92,39.92,38.56,54.5,1028.03,30.37
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:20:07,39.79,39.79,38.49,54.0,1028.09,30.53
2022-07-08_12:20:00,16,16,100,Meist bewölkt,21,2022-07-08_13:21:08,39.86,39.86,38.46,54.5,1027.93,30.12
